"","mean_climate_warming","run","scenario","approach","sum_area","total_cost","percent_area","num_pu"
"1",0.00603401199944436,"EM-Percentile-tos-126","126","percentile",14688897.3,14688897.3,61.9599310520218,21927
"2",0.0183173961532199,"EM-Percentile-tos-245","245","percentile",13266029.7,13266029.7,55.9580660657266,19803
"3",0.0397586023557581,"EM-Percentile-tos-585","585","percentile",13016826.9,13016826.9,54.9068919720817,19431
