"","X1","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"1",1,"Abalistes_filamentosus",32.9207920792079,31.6501650165016,32.6897689768977
"2",2,"Abalistes_stellaris",31.7611940298507,32.0746268656717,33.2238805970149
"3",3,"Abdopus_abaculus",33.8976377952756,33.3464566929133,34.7244094488189
"4",4,"Abietinaria_immersa",33.8524590163934,34.7131147540983,34.1393442622951
"5",5,"Ablennes_hians",30.7317073170731,31.490514905149,32.4390243902439
"6",6,"Abralia_andamanica",31.4809782608695,31.4809782608695,33.0027173913044
"7",7,"Abralia_astrosticta",30.547703180212,30.3621908127208,32.0318021201413
"8",8,"Abraliopsis_hoylei",30.2586206896552,30.301724137931,31.8965517241379
"9",9,"Abudefduf_septemfasciatus",30.5382436260623,31.3314447592068,32.3229461756374
"10",10,"Abudefduf_sexfasciatus",30.6759906759907,31.2470862470862,32.6340326340326
"11",11,"Abudefduf_sordidus",30.6967213114754,31.4617486338798,32.5136612021858
"12",12,"Abudefduf_vaigiensis",30.8408071748879,31.390134529148,32.7242152466368
"13",13,"Abyla_haeckeli",31.139705882353,31.3327205882353,32.4908088235294
"14",14,"Abylopsis_eschscholtzi",30.9692898272553,31.3723608445297,32.6487523992323
"15",15,"Abylopsis_tetragona",31.0151802656546,31.3472485768501,32.4098671726755
"16",16,"Acalyptophis_peronii",32.8318584070796,32.3672566371681,32.6769911504424
"17",17,"Acanthanas_pusillus",32.0675675675676,31.5,33.0135135135135
"18",18,"Acanthaster_planci",30.9895833333333,31.3541666666667,32.4479166666667
"19",19,"Acanthastrea_echinata",30.7317073170731,31.0421286031042,32.6718403547672
"20",20,"Acanthastrea_ishigakiensis",30.7661290322581,31.236559139785,32.9301075268817
"21",21,"Acanthaxius_miyazakiensis",31.9065656565657,31.6414141414141,32.8787878787879
"22",22,"Acanthaxius_spinosissimus",32.8544061302682,32.4521072796935,33.1226053639846
"23",23,"Acanthella_cavernosa",31.0204081632653,31.734693877551,32.9591836734694
"24",24,"Acanthella_costata",31.9375,31.6458333333333,32.0833333333333
"25",25,"Acanthephyra_eximia",30.4684838160136,30.7921635434412,30.5536626916524
"26",26,"Acanthephyra_quadrispinosa",33.4761235955056,32.0997191011236,32.1488764044944
"27",27,"Acanthephyra_smithi",31.0904465799887,30.0457885811193,30.4731486715659
"28",28,"Acanthochaetetes_wellsi",32.0967741935484,33.0645161290323,32.4193548387097
"29",29,"Acanthocybium_solandri",30.8011623080116,30.5759651307596,30.5469074304691
"30",30,"Acanthodendrilla_australis",35,34.2553191489362,32.7659574468085
"31",31,"Acanthogorgia_spinosa",33.25,34.4166666666667,33.25
"32",32,"Acanthophora_spicifera",30.824295010846,31.3557483731019,32.4186550976139
"33",33,"Acanthopleura_gemmata",30.9856630824373,31.6129032258064,33.3691756272401
"34",34,"Acanthopleura_spinosa",32.2,32.5111111111111,33.4444444444445
"35",35,"Acanthosphex_leurynnis",32.7580071174377,32.7580071174377,33.2562277580071
"36",36,"Acanthosquilla_derijardi",30.9753593429158,31.2628336755647,32.5564681724846
"37",37,"Acanthosquilla_multifasciata",31.3855421686747,31.8674698795181,32.5903614457831
"38",38,"Acanthurus_achilles",31.3102409638554,31.4156626506024,31.9427710843373
"39",39,"Acanthurus_albipectoralis",32.3076923076923,33.3846153846154,31.7692307692308
"40",40,"Acanthurus_auranticavus",31.0775862068965,31.1781609195402,32.2844827586207
"41",41,"Acanthurus_blochii",31.1311053984576,31.3110539845758,32.0308483290489
"42",42,"Acanthurus_dussumieri",31.1530172413793,31.3793103448276,32.510775862069
"43",43,"Acanthurus_fowleri",32.6068376068376,32.9059829059829,33.6538461538462
"44",44,"Acanthurus_grammoptilus",35,35,32.6271186440678
"45",45,"Acanthurus_guttatus",31.002538071066,31.1802030456853,31.9796954314721
"46",46,"Acanthurus_japonicus",32.67578125,32.8125,33.359375
"47",47,"Acanthurus_leucopareius",31.3207547169811,31.5094339622642,32.0754716981132
"48",48,"Acanthurus_lineatus",30.7239819004525,31.1990950226244,32.5452488687783
"49",49,"Acanthurus_maculiceps",32.2903225806451,31.9516129032258,33.4193548387097
"50",50,"Acanthurus_mata",31.1111111111111,31.3354700854701,32.6816239316239
"51",51,"Acanthurus_nigricans",31.1603375527426,31.4556962025316,32.415611814346
"52",52,"Acanthurus_nigricauda",31.171875,31.2630208333333,31.9921875
"53",53,"Acanthurus_nigrofuscus",30.8061002178649,31.2636165577342,32.4074074074074
"54",54,"Acanthurus_nigroris",31.4824120603015,31.3065326633166,32.0100502512563
"55",55,"Acanthurus_nubilus",31.2142857142857,31.5,32.5
"56",56,"Acanthurus_olivaceus",30.8256880733945,31.4678899082569,32.2706422018349
"57",57,"Acanthurus_pyroferus",30.9375,31.5625,32.265625
"58",58,"Acanthurus_thompsoni",31.1020881670533,31.4269141531323,32.2389791183295
"59",59,"Acanthurus_triostegus",31.040404040404,31.3939393939394,32.4545454545455
"60",60,"Acanthurus_xanthopterus",31.0953346855984,31.4503042596349,32.7991886409736
"61",61,"Acar_domingensis",31.6155660377358,31.0377358490566,32.5235849056604
"62",62,"Acar_plicata",31.1643835616438,31.2328767123288,32.6712328767124
"63",63,"Acarnus_caledoniensis",35,33.7931034482759,31.3793103448276
"64",64,"Acartia_danae",32.4742268041237,32.4742268041237,31.3917525773196
"65",65,"Acartia_negligens",35,35,35
"66",66,"Acasta_conica",32.8738317757009,33.2009345794393,34.1822429906542
"67",67,"Acasta_cyathus",31.376953125,31.4453125,32.67578125
"68",68,"Acasta_echinata",33.1081081081081,32.8378378378378,32.5675675675676
"69",69,"Acasta_fenestrata",31.1111111111111,31.9753086419753,32.7314814814815
"70",70,"Acasta_japonica",33.1978319783198,32.0596205962059,33.4823848238482
"71",71,"Acasta_purpurata",32.2368421052632,33.8486842105263,33.1578947368421
"72",72,"Acaudina_molpadioides",32.6517571884984,32.4281150159744,33.3226837060703
"73",73,"Accalathura_themeda",32.3484848484848,34.4696969696969,33.4090909090909
"74",74,"Acentrogobius_janthinopterus",32.0034246575343,32.2431506849315,33.2020547945206
"75",75,"Acentrogobius_moloanus",32.5352112676056,33.2746478873239,33.3978873239437
"76",76,"Acentrogobius_nebulosus",32.40234375,32.5390625,33.359375
"77",77,"Acentrogobius_suluensis",32.4285714285714,32.7142857142857,33.2857142857143
"78",78,"Acentronura_breviperula",31.1221590909091,31.8181818181818,32.9119318181818
"79",79,"Acesta_rathbuni",32.59375,32.59375,33.46875
"80",80,"Achaeus_curvirostris",33.0478087649403,32.2111553784861,33.4661354581673
"81",81,"Achaeus_lacertosus",32.5098814229249,33.0632411067194,33.7549407114625
"82",82,"Achelia_assimilis",32.0349907918969,31.5837937384899,32.744014732965
"83",83,"Achelia_besnardi",30.8307210031348,30.8307210031348,33.1347962382445
"84",84,"Achelia_nana",31.3033707865168,31.1460674157303,32.1685393258427
"85",85,"Achelia_sawayai",30.9072580645161,31.4717741935484,32.4596774193548
"86",86,"Aciculites_orientalis",32.4905660377358,33.5471698113208,33.0188679245283
"87",87,"Aciculites_tulearensis",32.6510067114094,32.0637583892618,33.2382550335571
"88",88,"Acoetes_pacifica",34.372197309417,34.8582995951417,30.5894308943089
"89",89,"Acreichthys_radiatus",31.2907608695652,31.1005434782609,32.9076086956522
"90",90,"Acreichthys_tomentosus",32.2695035460993,31.7730496453901,33.386524822695
"91",91,"Acrocalanus_gibber",31.9871794871795,31.6666666666666,32.1153846153846
"92",92,"Acropoma_japonicum",33.0909090909091,32.7727272727273,33.9393939393939
"93",93,"Acropoma_lecorneti",33.5777385159011,34.3197879858657,31.1042402826855
"94",94,"Acropora_abrotanoides",30.703125,31.328125,32.421875
"95",95,"Acropora_aculeus",30.5454545454545,31.4545454545454,32.4545454545455
"96",96,"Acropora_anthocercis",31.2292817679558,31.8093922651933,32.5828729281768
"97",97,"Acropora_aspera",30.5470737913486,31.2595419847328,32.3282442748091
"98",98,"Acropora_austera",30.8501118568233,31.3982102908277,32.7293064876957
"99",99,"Acropora_carduus",30.9396751740139,31.4269141531323,32.5638051044083
"100",100,"Acropora_cerealis",31.0913705583756,31.2690355329949,32.4238578680203
"101",101,"Acropora_chesterfieldensis",32.3076923076923,31.7224080267559,32.4247491638796
"102",102,"Acropora_clathrata",30.7772621809745,31.5081206496519,32.6450116009281
"103",103,"Acropora_cytherea",30.8685968819599,31.4142538975501,32.5055679287305
"104",104,"Acropora_danai",31.1475409836065,31.6393442622951,32.7049180327869
"105",105,"Acropora_dendrum",32.6524390243902,33.3993902439024,33.2926829268293
"106",106,"Acropora_digitifera",30.6546275395034,31.2076749435666,32.6297968397291
"107",107,"Acropora_divaricata",31.8078175895766,32.0358306188925,33.1758957654723
"108",108,"Acropora_donei",31.0416666666667,32.2916666666667,33.0208333333333
"109",109,"Acropora_echinata",31.0862619808307,31.3099041533546,33.2108626198083
"110",110,"Acropora_efflorescens",31.4426229508196,31.672131147541,33.0491803278689
"111",111,"Acropora_elseyi",30.675057208238,31.3157894736842,32.5972540045767
"112",112,"Acropora_exquisita",31.099706744868,31.6129032258064,32.9472140762463
"113",113,"Acropora_florida",31.1560693641618,31.9653179190752,32.9768786127168
"114",114,"Acropora_formosa",30.6741573033708,31.1460674157303,32.6404494382023
"115",115,"Acropora_gemmifera",30.824295010846,31.3557483731019,32.5704989154013
"116",116,"Acropora_glauca",31.2137203166227,31.9525065963061,33.245382585752
"117",117,"Acropora_globiceps",30.9059633027523,31.3876146788991,32.3509174311926
"118",118,"Acropora_grandis",31.011396011396,31.8091168091168,33.005698005698
"119",119,"Acropora_granulosa",30.9009009009009,31.5315315315315,32.7139639639639
"120",120,"Acropora_halmaherae",33.3260869565217,32.7173913043478,33.6304347826087
"121",121,"Acropora_horrida",31.2090680100755,32.0025188916877,33.3249370277078
"122",122,"Acropora_humilis",30.822072072072,31.4527027027027,32.6351351351351
"123",123,"Acropora_hyacinthus",30.824295010846,31.2798264642082,32.5704989154013
"124",124,"Acropora_inermis",30.9823399558499,31.2913907284768,32.4503311258278
"125",125,"Acropora_insignis",31.1449275362319,31.8550724637681,32.9710144927536
"126",126,"Acropora_intermedia",31.0833333333333,31.6666666666666,32.8333333333333
"127",127,"Acropora_kirstyae",31.006006006006,31.8468468468468,32.8978978978979
"128",128,"Acropora_latistella",30.8314606741573,31.3820224719101,32.7191011235955
"129",129,"Acropora_listeri",30.8501118568233,31.4765100671141,32.6510067114094
"130",130,"Acropora_longicyathus",30.7377049180328,31.4754098360656,32.6229508196721
"131",131,"Acropora_loripes",30.8447488584475,31.4840182648402,32.6826484018265
"132",132,"Acropora_lovelli",31.7152103559871,31.4886731391585,32.5080906148867
"133",133,"Acropora_lutkeni",30.8501118568233,31.4765100671141,32.4161073825504
"134",134,"Acropora_macrostoma",31.2048192771084,31.2048192771084,32.7861445783133
"135",135,"Acropora_microclados",30.8552631578947,31.4078947368421,32.4210526315789
"136",136,"Acropora_microphthalma",30.8,31.3764705882353,32.6941176470588
"137",137,"Acropora_millepora",31.4657980456026,32.2638436482085,33.0618892508143
"138",138,"Acropora_monticulosa",31.2,31.7,32.9
"139",139,"Acropora_muricata",31.0869565217392,31.9565217391304,32.8260869565217
"140",140,"Acropora_nasuta",30.896017699115,31.4380530973452,32.5221238938053
"141",141,"Acropora_nobilis",30.8685968819599,31.4142538975501,32.5835189309577
"142",142,"Acropora_palmerae",30.9615384615384,31.1410256410256,32.3076923076923
"143",143,"Acropora_paniculata",30.9302325581395,31.4728682170542,32.3772609819121
"144",144,"Acropora_parilis",31.2244897959184,31.734693877551,33.0612244897959
"145",145,"Acropora_polystoma",31.0518292682927,32.2256097560976,32.9725609756098
"146",146,"Acropora_prostrata",30.9033078880407,31.1704834605598,32.3282442748091
"147",147,"Acropora_pulchra",30.7936507936508,31.3492063492063,32.6984126984127
"148",148,"Acropora_rambleri",33.125,33.3333333333333,33.6458333333333
"149",149,"Acropora_retusa",31.0283687943263,31.6075650118203,32.434988179669
"150",150,"Acropora_robusta",30.7454128440367,31.4678899082569,32.6720183486238
"151",151,"Acropora_rosaria",30.8707865168539,31.6573033707865,32.935393258427
"152",152,"Acropora_samoensis",30.8314606741573,31.4606741573034,32.7191011235955
"153",153,"Acropora_sarmentosa",30.8196721311475,31.5573770491804,32.7049180327869
"154",154,"Acropora_secale",30.8133971291866,31.3995215311004,32.6555023923445
"155",155,"Acropora_selago",30.8602150537634,31.3306451612903,32.3655913978494
"156",156,"Acropora_solitaryensis",31.8811881188118,32.1122112211221,33.1518151815182
"157",157,"Acropora_spathulata",32.7927927927928,32.4774774774775,33.5810810810811
"158",158,"Acropora_speciosa",31.195652173913,31.280193236715,32.8864734299517
"159",159,"Acropora_spicifera",32.0538720538721,32.1717171717172,33.1144781144781
"160",160,"Acropora_subglabra",31.6958041958042,31.6958041958042,33.5314685314685
"161",161,"Acropora_subulata",30.8584686774942,31.3457076566125,32.7262180974478
"162",162,"Acropora_tenella",31.5782122905028,31.5782122905028,33.2402234636872
"163",163,"Acropora_tenuis",30.8031674208145,31.5158371040724,32.7036199095023
"164",164,"Acropora_teres",30.3515625,31.2630208333333,32.0833333333333
"165",165,"Acropora_valenciennesi",31.2074303405572,32.1826625386997,32.9411764705883
"166",166,"Acropora_valida",30.8867521367521,31.3354700854701,32.6068376068376
"167",167,"Acropora_vaughani",30.9396751740139,31.4269141531323,32.7262180974478
"168",168,"Acropora_verweyi",30.8867521367521,31.3354700854701,32.3824786324787
"169",169,"Acropora_willisae",31.2460567823344,32.0189274447949,32.9022082018927
"170",170,"Acropora_yongei",32.1525423728813,32.3898305084746,33.1016949152542
"171",171,"Acrosterigma_dianthinum",31.2636165577342,31.3398692810458,32.7124183006536
"172",172,"Acrosterigma_hobbsae",31.3636363636364,30.9848484848485,32.7272727272727
"173",173,"Acrosterigma_maculosum",33.1918819188192,32.9335793357934,34.0959409594096
"174",174,"Acrosterigma_profundum",31.1111111111111,31.8589743589743,32.6068376068376
