"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"4064","Holothuria_impatiens",34.1538461538461,32.8461538461538,34,32.5595238095238,32.6923076923077
"4065","Holothuria_inhabilis",34.0737240075614,33.0812854442344,34.1398865784499,32.5184638109306,32.6181474480151
"4066","Holothuria_lessoni",34.2493297587131,33.3109919571046,34.4369973190348,31.9019138755981,31.2078152753108
"4067","Holothuria_leucospilota",34.2239467849224,32.9822616407982,34.4567627494457,32.5210792580101,32.6718403547672
"4068","Holothuria_martensii",30.1297169811321,31.1270491803279,33.1016949152542,31.0913705583756,34.1393442622951
"4069","Holothuria_nobilis",34.0421052631579,32.3473684210526,34.0421052631579,32.2777777777778,32.7894736842105
"4070","Holothuria_ocellata",30.6596306068602,31.9957081545064,33.6940298507463,31.1871508379888,34.549356223176
"4071","Holothuria_pardalis",34.2579505300353,32.2173144876325,33.7302839116719,32.2751677852349,32.4646643109541
"4072","Holothuria_pervicax",34.155701754386,32.4671052631579,34.078947368421,32.4376039933444,32.6973684210526
"4073","Holothuria_rigida",34.2204899777283,32.8173719376392,34.2984409799555,32.6746166950596,32.6614699331848
"4074","Holothuria_scabra",34.0843023255814,32.9651162790698,34.5930232558139,31.6426858513189,31.4363636363636
"4075","Holothuria_verrucosa",34.2164179104478,34.3470149253731,33.8246268656716,33.4328358208955,32.6492537313433
"4076","Holtbyrnia_cyanocephala",33.6501377410468,34.7107438016529,34.4214876033058,34.228650137741,30.0826446280992
"4077","Holtbyrnia_innesi",30.042850699143,30.4296346414073,30.6506540369869,30.0033829499323,30.595399188092
"4078","Homalacantha_anatomica",30.5147058823529,32.2053231939163,34.467680608365,31.7951807228916,34.0684410646388
"4079","Homalocantha_anomaliae",34.3154034229829,34.1442542787286,34.8288508557457,32.609756097561,32.8606356968215
"4080","Homalocantha_scorpio",34.2411924119241,33.1978319783198,34.4308943089431,31.9529411764706,31.2478031634446
"4081","Homola_orientalis",34.3021472392638,33.3895705521472,34.159604519774,31.8476821192053,31.7254601226994
"4082","Hoplichthys_citrinus",34.2363636363636,34.6818181818182,34.5545454545455,32.2173144876325,32.2
"4083","Hoplichthys_filamentosus",33.5588235294118,34.4852941176471,34.8970588235294,30.7547169811321,32.1599045346062
"4084","Hoplichthys_gilberti",34.3221830985915,33.9524647887324,34.6302816901408,30.9947183098592,30.9545454545455
"4085","Hoplichthys_ogilbyi",33.2203389830508,35,35,33.6538461538462,35
"4086","Hoplichthys_regani",32.7996283679158,32.1817900278724,33.796841127284,30,30.5775781975844
"4087","Hoplobrotula_armata",30.9859154929577,34.1967213114754,35,31.2247191011236,34.1967213114754
"4088","Hoplodoris_nodulosa",31.6666666666667,30.7017543859649,35,34.2708333333333,30.625
"4089","Hoplolatilus_chlupatyi",32.212389380531,32.6769911504425,34.6902654867257,31.2611275964392,34.6902654867257
"4090","Hoplolatilus_cuniculus",34.1710526315789,34.2631578947368,33.8947368421053,33.4342105263158,32.8815789473684
"4091","Hoplolatilus_fronticinctus",33.4671532846715,33.0839416058394,34.7445255474453,31.3670886075949,34.4890510948905
"4092","Hoplolatilus_marcosi",34.2493297587131,33.4986595174263,33.8739946380697,31.8764302059497,33.4986595174263
"4093","Hoplolatilus_starcki",34.1566265060241,33.8192771084337,33.9036144578313,31.9762419006479,33.144578313253
"4094","Hoplophrys_oatesi",33.4352941176471,33.2705882352941,34.2662473794549,32.3305084745763,33.1882352941176
"4095","Hoplostethus_mediterraneus",34.3736017897092,34.1387024608501,35,32.7293064876957,33.8284518828452
"4096","Howella_brodiei",30.3083109919571,30.7593185159561,30.8773674651907,30.3083109919571,30.3627951223731
"4097","Huenia_brevifrons",31.0258964143426,32.921875,34.1740412979351,32.4666666666667,33.578125
"4098","Huenia_heraldica",30.7336343115124,33.4256055363322,33.9871382636656,33.7889273356401,33.9100346020761
"4099","Huenia_pacifica",34.1504854368932,32.621359223301,34.0655339805825,31.5221987315011,31.1111111111111
"4100","Hyalinoecia_tubicola",35,35,35,35,35
"4101","Hyalocylis_striata",33.6614730878187,34.5538243626062,32.9178470254957,32.8682719546742,31.9896788990826
"4102","Hyaloteuthis_pelagica",33.5692921236291,33.8833499501496,33.1156530408774,30.777666999003,30.777666999003
"4103","Hyastenus_borradailei",33.0281690140845,34.8292682926829,35,34.8292682926829,32.9512195121951
"4104","Hyastenus_diacanthus",30.2144772117962,31.1111111111111,33.2364341085271,30.7879656160458,34.5138888888889
"4105","Hyastenus_hilgendorfi",31.6929133858268,33.4513274336283,34.4067796610169,34.1740412979351,33.5545722713864
"4106","Hyattella_intestinalis",33.1464174454829,32.8193146417445,34.7819314641744,31.5402298850575,33.582554517134
"4107","Hydatina_amplustre",34.2005076142132,34.0228426395939,34.2005076142132,32.1577726218097,33.489847715736
"4108","Hydatina_physis",34.0962441314554,33.4389671361502,34.5070422535211,32.5949367088608,32.6173708920188
"4109","Hydatina_zonata",30.5898123324397,32.2844827586207,33.6538461538462,30.8,34.698275862069
