"","feature","EM_ClimatePriorityArea_CombinedMetric_585","EM_ClimatePriorityArea_MHW_585","EM_ClimatePriorityArea_velocity_585"
"2288","Ctenochaetus_striatus",40.2753872633391,37.4067699368904,37.0625358577166
"2289","Ctenochaetus_strigosus",33.482428115016,36.038338658147,37.5718849840256
"2290","Ctenochaetus_tominiensis",35.9756097560976,37.6306620209059,36.6724738675958
"2291","Ctenogobiops_aurocingulus",35.4412786657401,37.9430159833218,37.8735232800556
"2292","Ctenogobiops_crocineus",37.3616236162362,39.2988929889299,37.0848708487085
"2293","Ctenogobiops_feroculus",40.1115933044017,37.197768133912,36.887786732796
"2294","Ctenogobiops_mitodes",34.8360655737705,36.577868852459,38.422131147541
"2295","Ctenogobiops_pomastictus",35.2426412092283,37.3906125696102,37.6292760540971
"2296","Ctenogobiops_tangaroai",35.0553505535055,36.5313653136531,33.9483394833948
"2297","Ctenoides_ales",37.2177055103884,39.2050587172538,37.4887082204155
"2298","Ctenoides_annulatus",35.9046283309958,37.0967741935484,37.6577840112202
"2299","Cuapetes_amymone",40.1623985009369,37.2891942535915,37.2267332916927
"2300","Cuapetes_elegans",40.0339750849377,37.0894677236693,36.5798414496036
"2301","Cuapetes_ensifrons",40.0604229607251,37.3413897280967,36.7371601208459
"2302","Cuapetes_grandis",41.1881188118812,36.8316831683168,37.0957095709571
"2303","Cuapetes_kororensis",36.0199004975124,37.5124378109453,35.9203980099502
"2304","Cuapetes_platycheles",39.8315282791817,37.1841155234657,36.7027677496992
"2305","Cuapetes_tenuipes",39.9377593360996,36.8257261410788,36.4107883817427
"2306","Cubiceps_baxteri",32.1220041149975,30.248012011344,30.1840627259078
"2307","Cubiceps_caeruleus",30.078125,31.640625,34.765625
"2308","Cubiceps_capensis",32.4225624780007,31.076205561422,31.1554030271031
"2309","Cubiceps_pauciradiatus",32.2302978480832,30.2436938862762,30.2237423400314
"2310","Cubiceps_whiteleggii",38.3704735376045,40.3899721448468,39.1364902506964
"2311","Cucullaea_labiata",37.4052232518955,39.1743892165122,34.9620893007582
"2312","Culcita_novaeguinae",39.1044776119403,35.5970149253731,37.1641791044776
"2313","Culcita_novaeguineae",39.7306397306397,37.0931537598204,36.6442199775533
"2314","Culeolus_herdmani",31.059457638538,32.011116725619,31.9774296782887
"2315","Culicia_rubeola",35.625,36.8125,37.125
"2316","Culicia_tenella",37.0967741935484,41.9354838709677,37.9032258064516
"2317","Cunina_duplicata",70.5882352941177,82.3529411764706,100
"2318","Cunina_globosa",41.8079096045198,38.6602098466505,34.4632768361582
"2319","Cunina_octonaria",39.4814090019569,36.839530332681,36.1545988258317
"2320","Cupuladria_guineensis",37.9775280898876,38.4269662921348,33.5955056179775
"2321","Cuspidella_humilis",50,50,100
"2322","Cyclax_suborbicularis",40.2214022140221,37.3308733087331,37.2078720787208
"2323","Cyclichthys_spilostylus",36.3730569948187,37.5129533678756,33.5751295336788
"2324","Cycloachelous_granulatus",42.0918367346939,37.4149659863946,34.3537414965986
"2325","Cycloachelous_orbitosinus",34.0255591054313,35.7827476038339,44.7284345047923
"2326","Cycloachelous_suborbicularis",35.6435643564356,39.4389438943894,44.7194719471947
"2327","Cyclochlamys_lemchei",31.1363636363636,30.6818181818182,40.4545454545455
"2328","Cyclodius_granulosus",42.9240862230553,37.6757263355201,35.3327085285848
"2329","Cyclodius_nitidus",40.4282115869018,37.4685138539043,37.27959697733
"2330","Cyclodius_obscurus",38.6491557223265,34.8968105065666,36.8355222013759
"2331","Cycloes_marisrubri",39.1426959954879,35.5893965031021,35.5329949238579
"2332","Cyclograpsus_longipes",40.337224383917,37.15953307393,37.3540856031128
"2333","Cyclosalpa_pinnata",36.8663594470046,38.7096774193548,34.7465437788018
"2334","Cycloscala_crenulata",34.7019867549669,36.3576158940397,36.4238410596026
"2335","Cycloscala_hyalina",35.41791942273,36.9813589897775,37.0414912808178
"2336","Cycloscala_sardellae",33.9517625231911,35.9925788497217,40.4452690166976
"2337","Cycloseris_costulata",35.719557195572,36.90036900369,36.4575645756458
"2338","Cycloseris_curvata",35.5311355311355,36.5079365079365,33.4554334554335
"2339","Cycloseris_distorta",36.1801242236025,37.5776397515528,37.3447204968944
"2340","Cycloseris_hexagonalis",34.7903657448706,36.2176628010705,34.9687778768956
"2341","Cycloseris_sinensis",34.7826086956522,36.4548494983278,36.5384615384615
"2342","Cycloseris_tenuis",34.5669874167284,36.1213915618061,36.1213915618061
"2343","Cycloseris_vaughani",39.2412935323383,36.3805970149254,36.5671641791045
"2344","Cyclostremiscus_emeryi",39.3013100436681,36.4316905801622,36.9931378665003
"2345","Cycloteuthis_sirventi",30.0811604213435,30.184769469867,30.0235998388304
"2346","Cyclothone_acclinidens",32.3717508851865,30.293964263168,30.4394367743529
"2347","Cyclothone_alba",31.9079694240521,30.1773505890663,30.7348823128737
"2348","Cyclothone_braueri",32.8461587341933,30.8603927050899,31.4481794497045
"2349","Cyclothone_microdon",32.7712264150943,30.6485849056604,31.40625
"2350","Cyclothone_pallida",31.8870403887635,30.4738055686411,30.7936429226688
"2351","Cyclothone_parapallida",30.3264143935955,30.2397557050303,30.2768951429868
"2352","Cyclothone_pseudopallida",31.9438162721745,30.2678526559124,30.7854666063621
"2353","Cyclothone_signata",33.5476956055734,39.3354769560557,37.1382636655949
"2354","Cyllometra_manca",36.6255144032922,34.9794238683128,39.5061728395062
"2355","Cymadusa_filosa",35.7988165680473,36.8343195266272,37.7218934911243
"2356","Cymatium_caudatum",34.3548387096774,38.0645161290323,42.741935483871
"2357","Cymatium_cingulatum",34.5294117647059,35.4117647058824,37.1176470588235
"2358","Cymatium_comptum",34.7277556440903,36.2549800796813,35.1261620185923
"2359","Cymatium_cynocephalum",33.7890625,34.47265625,32.12890625
"2360","Cymatium_dunkeri",35.1540616246499,35.1540616246499,41.8767507002801
"2361","Cymatium_gutturnium",35.327868852459,38.0327868852459,35.7377049180328
"2362","Cymatium_hepaticum",34.7464042392127,35.9576078728236,36.336109008327
"2363","Cymatium_intermedium",40.3880070546737,37.1546149323927,36.8018812463257
"2364","Cymatium_lotorium",40.1880141010576,37.3090481786134,36.8977673325499
"2365","Cymatium_muricinum",40.4342723004695,37.206572769953,36.7370892018779
"2366","Cymatium_nicobaricum",37.9718726868986,35.899333826795,33.160621761658
"2367","Cymatium_pileare",40.158371040724,37.2737556561086,36.7647058823529
"2368","Cymatium_pyrum",40.4789719626168,37.4415887850467,36.9158878504673
"2369","Cymatium_rubeculum",34.2275670675301,35.2451433857539,35.6151711378353
"2370","Cymatium_testudinarium",35.5292376017765,36.7135455218357,38.4159881569208
"2371","Cymbacephalus_beauforti",36.0815602836879,38.386524822695,36.7021276595745
"2372","Cymbacephalus_nematophthalmus",36.1858190709046,37.041564792176,34.5965770171149
"2373","Cymbacephalus_staigeri",35.84,37.92,37.76
"2374","Cymbastela_cantharella",31.0160427807487,31.5508021390374,47.0588235294118
"2375","Cymbastela_concentrica",34.9775784753363,39.6860986547085,43.9461883408072
"2376","Cymbiola_vespertilio",37.2881355932203,37.7401129943503,34.6892655367232
"2377","Cymo_andreossyi",40.2736466389054,37.4182034503272,37.0017846519929
"2378","Cymo_deplanatus",40.2497027348395,37.5148632580262,36.9203329369798
"2379","Cymo_melanodactylus",40.3128760529483,37.1239470517449,36.8231046931408
"2380","Cymo_quadrilobatus",39.7972116603295,37.1989860583016,36.6920152091255
