"","run","scenario","approach","mean_tos","mean_phos","mean_o2os","median_velocity","mean_MHW","mean_CombinedMetric","num_pu","percent_area"
"1","EM_Feature_tos_585","585","feature",0.0366836661553144,-0.0046096362442158,-0.000115160208950959,13.3862369787475,46971.0587684407,57.8983602993258,16347,46.192319647348
"2","EM_Feature_phos_585","585","feature",0.0411442186140189,-0.00444421014654667,-0.000125525079809304,29.3067372055769,62597.6103381816,52.4443961248087,14892,42.0808725875272
"3","EM_Feature_o2os_585","585","feature",0.0371072668998872,-0.00457559669431539,-0.00011333056019462,16.6632329845902,49321.3912284673,59.4071089797174,14954,42.2560682698014
"4","EM_Feature_velocity_585","585","feature",0.037244850465971,-0.00466042022018241,-0.000118226793047679,9.97700519554815,44625.777512151,54.1319632328636,15974,45.1383198168923
"5","EM_Feature_MHW_585","585","feature",0.0373023229764326,-0.00465278570658635,-0.000117964660367831,10.8521726474287,43550.1906323636,54.7998899242981,15227,43.0274944191698
"6","EM_Feature_CombinedMetric_585","585","feature",0.0369398772365675,-0.00456170371874175,-0.000113176319467938,17.5412958753098,49252.3609286548,60.5300044914427,14399,40.6877843397666
