"","run","scenario","approach","mean_tos","mean_phos","mean_o2os","median_velocity","mean_MHW","mean_CombinedMetric","num_pu","percent_area"
"1","EM_Penalty_tos_585","585","penalty",0.0372852438016995,-0.00458561847757485,-0.000113527991200643,22.3439350084295,48111.506622684,58.552364897268,12802,30.0919070117293
"2","EM_Penalty_phos_585","585","penalty",0.0423162427223149,-0.00443931131162845,-0.00012868976131235,22.9101240333845,69021.9963217612,49.7868908056947,12798,30.08250475989
"3","EM_Penalty_o2os_585","585","penalty",0.0375445246509152,-0.00457511879507387,-0.000112582264890658,22.4681042360345,48991.8375076598,59.1166705879925,12794,30.0731025080507
"4","EM_Penalty_velocity_585","585","penalty",0.0375445246509152,-0.00457511879507387,-0.000112582264890658,22.4681042360345,48991.8375076598,59.1166705879925,12794,30.0731025080507
"5","EM_Penalty_MHW_585","585","penalty",0.0375445246509152,-0.00457511879507387,-0.000112582264890658,22.4681042360345,48991.8375076598,59.1166705879925,12794,30.0731025080507
"6","EM_Penalty_CombinedMetric_585","585","penalty",0.0377750688534695,-0.00454975643217847,-0.000113753967272951,22.3738094315195,49278.6190409926,60.3943793649412,12795,30.0754530710105
