"","sum_area","total_cost","percent_area","num_pu","run"
"1",1529381.7,1529381.7,6.45115713922405,2283,"LR-tos"
"2",1662021.9,1662021.9,7.01065302777699,2481,"LR-phos"
"3",1438275.3,1438275.3,6.06685693294527,2147,"LR-o2os"
"4",1476459.6,1476459.6,6.22792393116505,2204,"LR-velocity"
