median_velocity,mean_log_velocity,run,scenario,approach,mean_oxygen_decline,mean_ocean_acidification,mean_climate_warming
15.808354490474166,2.8354790447683764,LRFeature,585,Feature,-1.4455162379274243e-4,-0.004496337311931871,0.04229860530926984
22.78181336836295,3.20124882755924,LRPercentile,585,Percentile,-1.4905167513258922e-4,-0.0044899970796847405,0.04378928685396671
15.808354490474166,2.8667749755991485,LRPenalty,585,Penalty,-1.4426252400819058e-4,-0.004515693122998441,0.04191245373701867
15.808354490474166,2.9149153894895155,LRClimatePriorityArea,585,ClimatePriorityArea,-1.4523330377179936e-4,-0.0045061276717006885,0.04208250332917731
