"","feature","uninformed"
"145","Acropora_polystoma",34.1151385927505
"146","Acropora_prostrata",33.659839715049
"147","Acropora_pulchra",35.5555555555556
"148","Acropora_rambleri",32.0833333333333
"149","Acropora_retusa",36.0099337748344
"150","Acropora_robusta",35.7142857142857
"151","Acropora_rosaria",34.1535433070866
"152","Acropora_samoensis",35.4559748427673
"153","Acropora_sarmentosa",35.8490566037736
"154","Acropora_secale",35.8458961474037
"155","Acropora_selago",33.8360037700283
"156","Acropora_solitaryensis",33.9884393063584
"157","Acropora_spathulata",34.9606299212598
"158","Acropora_speciosa",35.3637901861252
"159","Acropora_spicifera",34.2756183745583
"160","Acropora_subglabra",33.7408312958435
"161","Acropora_subulata",35.6331168831169
"162","Acropora_tenella",33.7573385518591
"163","Acropora_tenuis",35.6066613798573
"164","Acropora_teres",33.3333333333333
"165","Acropora_valenciennesi",34.2733188720174
"166","Acropora_valida",35.7249626307922
"167","Acropora_vaughani",35.3084415584416
"168","Acropora_verweyi",36.1526946107784
"169","Acropora_willisae",34.2163355408389
"170","Acropora_yongei",34.0450771055753
"171","Acrosterigma_dianthinum",32.4427480916031
"172","Acrosterigma_hobbsae",34.4200151630023
"173","Acrosterigma_maculosum",34.7545219638243
"174","Acrosterigma_profundum",36.7316341829085
"175","Acrosterigma_punctolineatum",32.9992289899769
"176","Acrosterigma_selene",38.3783783783784
"177","Acrosterigma_simplex",32.3717948717949
"178","Acrosterigma_transcendens",35.4865085854456
"179","Acrosterigma_unicolor",34.1880341880342
"180","Acryptolaria_conferta",57.4225122349103
"181","Actaea_polyacantha",37.3668925459826
"182","Actaeodes_consobrinus",37.5619425173439
"183","Actaeodes_hirsutissimus",36.0703812316716
"184","Actaeodes_tomentosus",36.0608254887762
"185","Actaeomorpha_erosa",35.3225806451613
"186","Acteocina_lepta",37.5
"187","Actinodendron_plumosum",35.1351351351351
"188","Actinopyga_caerulea",33.6391437308869
"189","Actinopyga_capillata",35.1302785265049
"190","Actinopyga_crassa",33.804143126177
"191","Actinopyga_echinites",35.4838709677419
"192","Actinopyga_lecanora",33.7864077669903
"193","Actinopyga_mauritiana",35.8034321372855
"194","Actinopyga_miliaris",32.9025844930418
"195","Actinopyga_palauensis",34.0833333333333
"196","Actinopyga_spinea",35.0308641975309
"197","Actinopyga_varians",36.9488536155203
"198","Actinotrichia_fragilis",34.4827586206897
"199","Actumnus_setifer",34.4827586206897
"200","Aega_alazon",39.1437308868502
"201","Aega_excisa",37.8684807256236
"202","Aega_vigilans",39.4927536231884
"203","Aegaeon_lacazei",37.2208436724566
"204","Aegaeon_rathbuni",37.1483996120272
"205","Aegina_citrea",34.4434706397897
"206","Aeginura_grimaldii",35.0750750750751
"207","Aegires_exeches",35.6278366111952
"208","Aegisthus_mucronatus",30.2738215124922
"209","Aenigmathura_calliandra",36.8421052631579
"210","Aequorea_globosa",41.9047619047619
"211","Aesopia_cornuta",34.1880341880342
"212","Aesopus_clausiliformis",35.3061224489796
"213","Aethaloperca_rogaa",34.0836012861736
"214","Aethra_edentata",35.6012658227848
"215","Aethra_scruposa",36.0030511060259
"216","Aetideus_giesbrechti",100
"217","Aetobatus_flagellum",34.2039800995025
"218","Aetobatus_narinari",34.1054313099042
"219","Aetobatus_ocellatus",35.85313174946
"220","Afrocardium_exochum",32.5555555555556
"221","Afrocardium_infantile",32.7485380116959
"222","Afrocardium_richardi",34.9598517603459
"223","Agalma_elegans",39.2452830188679
"224","Agalma_okeni",35.5048859934853
"225","Agelas_ceylonica",34.7394540942928
"226","Agelas_clathrodes",35.6818181818182
"227","Agelas_mauritiana",36.0148514851485
"228","Agelas_novaecaledoniae",39.1891891891892
"229","Aglaophamus_dibranchis",36.9143780290792
"230","Aglaophamus_verrilli",44.4915254237288
"231","Aglaophenia_cupressina",35.989010989011
"232","Aglaophenia_lophocarpa",43.3691756272401
"233","Aglaophenia_postdentata",35.0835322195704
"234","Aglaura_hemistoma",34.7642505277973
"235","Agnezia_glaciata",54.1666666666667
"236","Agononida_incerta",36.0830860534125
"237","Agononida_simillima",42.6356589147287
"238","Agononida_squamosa",36.319612590799
"239","Ahliesaurus_berryi",30.6526565043658
"240","Ahliesaurus_brevis",77.0137524557957
"241","Aidanosagitta_neglecta",35.2405721716515
"242","Aidanosagitta_oceania",38.5290889132821
"243","Aidanosagitta_regularis",32.8870292887029
"244","Aioliops_megastigma",35.9126984126984
"245","Aioliops_novaeguineae",35.0086655112652
"246","Aioliops_tetrophthalmus",35.1351351351351
"247","Aipysurus_duboisii",36.1955085865258
"248","Aipysurus_eydouxii",32.6829268292683
"249","Aipysurus_laevis",35.8288770053476
"250","Akera_soluta",38.7211367673179
"251","Alainodaeus_nuku",58.1699346405229
"252","Alainodaeus_rimatara",36.9135802469136
"253","Alainosquilla_foresti",35.3418308227115
"254","Alatina_alata",33.3272361441376
"255","Alaysia_spiralis",32.8201725282017
"256","Albula_argentea",34.7350714886459
"257","Albula_oligolepis",35.3915662650602
"258","Albunea_bulla",35.7314148681055
"259","Albunea_microps",34.8648648648649
"260","Alderina_tuberosa",34.7931873479319
"261","Alectis_ciliaris",36.2340585146287
"262","Alectis_indica",37.719298245614
"263","Alectona_triradiata",31.0924369747899
"264","Alectryonella_plicatula",35.2258064516129
"265","Alepes_apercna",34.5911949685535
"266","Alepes_djedaba",36.7844092570037
"267","Alepes_vari",32.824427480916
"268","Alepisaurus_ferox",32.8480375712848
"269","Aliaporcellana_suluensis",33.8422391857506
"270","Alima_hieroglyphica",35.3579175704989
"271","Alimopsoides_tuberculatus",34.9442379182156
"272","Alionematichthys_crassiceps",34.4654088050314
"273","Alionematichthys_piger",35.9809372517871
"274","Alionematichthys_riukiuensis",34.1821743388834
"275","Alionematichthys_winterbottomi",32.3529411764706
"276","Allocyttus_verrucosus",56.2841530054645
"277","Alloeocomatella_pectinifera",34.4552701505757
"278","Alloeocomatella_polycladia",33.0874604847208
