"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"1","Abalistes_filamentosus",66.242774566474,60.4624277456647,72.2543352601156
"2","Abalistes_stellaris",62.9436325678497,56.8893528183716,66.0751565762004
"3","Abdopus_abaculus",59.1160220994475,54.9723756906077,75.6906077348066
"4","Abietinaria_immersa",69.3409742120344,66.7621776504298,77.0773638968481
"5","Ablennes_hians",67.3933649289099,64.3601895734597,70.4265402843602
"6","Abralia_andamanica",62.1904761904762,56.7619047619048,65.7142857142857
"7","Abralia_astrosticta",70.9158415841584,66.5841584158416,74.8762376237624
"8","Abraliopsis_hoylei",67.1841310909875,62.48382923674,68.8658904700302
"9","Abudefduf_septemfasciatus",66.2698412698413,63.0952380952381,69.9404761904762
"10","Abudefduf_sexfasciatus",67.1836734693878,62.0408163265306,69.6326530612245
"11","Abudefduf_sordidus",67.2413793103448,64.0804597701149,70.3065134099617
"12","Abudefduf_vaigiensis",68.156862745098,63.2941176470588,70.1176470588235
"13","Abyla_haeckeli",68.3397683397683,63.5135135135135,70.3989703989704
"14","Abylopsis_eschscholtzi",68.9979825151311,63.6852723604573,71.0827168796234
"15","Abylopsis_tetragona",71.1819389110226,66.6002656042497,73.6387782204515
"16","Acalyptophis_peronii",55.968992248062,50.2325581395349,62.9457364341085
"17","Acanthanas_pusillus",67.9280983916746,62.0624408703879,70.3878902554399
"18","Acanthaster_planci",68.8548504741065,64.3326039387308,70.7512764405543
"19","Acanthastrea_echinata",68.1148176881303,63.3824670287044,70.0543056633049
"20","Acanthastrea_ishigakiensis",64.373232799246,59.0009425070688,67.5777568331763
"21","Acanthaxius_miyazakiensis",63.3628318584071,56.6371681415929,65.8407079646018
"22","Acanthaxius_spinosissimus",63.5752688172043,59.8118279569892,71.3709677419355
"23","Acanthella_cavernosa",63.2277834525025,58.3248212461696,67.5178753830439
"24","Acanthella_costata",63.2116788321168,59.8540145985402,71.3868613138686
"25","Acanthephyra_eximia",71.4200528154017,62.0410597154783,68.5066871113383
"26","Acanthephyra_quadrispinosa",61.4854894244958,51.4018691588785,62.075750122971
"27","Acanthephyra_smithi",55.1286110011872,50.0197863078749,52.0775623268698
"28","Acanthochaetetes_wellsi",74.9596122778675,73.6672051696284,75.2827140549273
"29","Acanthocybium_solandri",56.1169633127497,50.7773338176535,53.4907373774065
"30","Acanthodendrilla_australis",62.6865671641791,58.2089552238806,66.4179104477612
"31","Acanthogorgia_spinosa",74.7058823529412,70.5882352941177,79.4117647058823
"32","Acanthophora_spicifera",68.3130699088146,64.0577507598784,70.2887537993921
"33","Acanthopleura_gemmata",64.7427854454203,61.7314930991217,68.5069008782936
"34","Acanthopleura_spinosa",55.607476635514,51.5576323987539,63.2398753894081
"35","Acanthosphex_leurynnis",60.2244389027431,55.860349127182,65.71072319202
"36","Acanthosquilla_derijardi",67.5287356321839,61.8534482758621,69.2528735632184
"37","Acanthosquilla_multifasciata",66.2650602409639,60.2409638554217,71.0843373493976
"38","Acanthurus_achilles",70.7060063224447,69.336143308746,73.7618545837724
"39","Acanthurus_albipectoralis",79.1891891891892,80.2702702702703,76.7567567567568
"40","Acanthurus_auranticavus",63.6180904522613,58.2914572864322,67.9396984924623
"41","Acanthurus_blochii",64.8648648648649,59.7297297297297,67.9279279279279
"42","Acanthurus_dussumieri",65.7099697885196,60.6495468277946,67.8247734138973
"43","Acanthurus_fowleri",60.4790419161677,54.6407185628742,67.065868263473
"44","Acanthurus_grammoptilus",73.3727810650888,63.3136094674556,89.9408284023669
"45","Acanthurus_guttatus",67.6156583629893,62.9893238434164,69.661921708185
"46","Acanthurus_japonicus",58.6065573770492,54.3715846994536,64.207650273224
"47","Acanthurus_leucopareius",69.3106704438149,65.7223796033994,72.9933899905571
"48","Acanthurus_lineatus",67.8826328310864,63.7589214908802,70.4203013481364
"49","Acanthurus_maculiceps",63.1221719457014,57.4660633484163,65.3846153846154
"50","Acanthurus_mata",68.4603886397608,62.8550074738416,70.4035874439462
"51","Acanthurus_nigricans",68.5144124168514,63.7841832963784,70.509977827051
"52","Acanthurus_nigricauda",65.0273224043716,59.8360655737705,68.0327868852459
"53","Acanthurus_nigrofuscus",68.0640243902439,64.1006097560976,70.1981707317073
"54","Acanthurus_nigroris",68.2218309859155,63.2042253521127,71.6549295774648
"55","Acanthurus_nubilus",69.6926375982845,64.9749821300929,71.9085060757684
"56","Acanthurus_olivaceus",66.5594855305466,61.7363344051447,68.5691318327974
"57","Acanthurus_pyroferus",68.359375,63.203125,70.78125
"58","Acanthurus_thompsoni",66.6666666666667,61.0569105691057,69.0243902439024
"59","Acanthurus_triostegus",68.9752650176678,64.3816254416961,70.7420494699647
"60","Acanthurus_xanthopterus",68.9850958126331,64.1589779985806,70.8303761533002
"61","Acar_domingensis",65.9240924092409,59.3234323432343,67.986798679868
"62","Acar_plicata",68.7671232876712,63.8356164383562,71.027397260274
"63","Acarnus_caledoniensis",49.3827160493827,48.1481481481481,58.0246913580247
"64","Acartia_danae",69.7841726618705,64.7482014388489,83.4532374100719
"65","Acartia_negligens",100,100,100
"66","Acasta_conica",62.1931260229133,58.2651391162029,73.1587561374795
"67","Acasta_cyathus",71.2918660287081,66.0970608339029,73.6158578263841
"68","Acasta_echinata",60.3518267929635,54.9391069012179,66.3058186738836
"69","Acasta_fenestrata",61.9047619047619,57.1428571428571,65.9090909090909
"70","Acasta_japonica",57.9696394686907,51.0436432637571,62.8083491461101
"71","Acasta_purpurata",59.2165898617512,57.3732718894009,73.2718894009217
"72","Acaudina_molpadioides",58.9485458612975,52.0134228187919,64.5413870246085
