"","feature","EM_Penalty_tos_585","EM_ClimatePriorityArea_tos_585","EM_Percentile_tos_585","EM_Feature_tos_585"
"1","Abalistes_filamentosus",45.0342465753425,35.958904109589,66.5239726027397,41.0102739726027
"2","Abalistes_stellaris",43.984375,38.515625,63.59375,44.296875
"3","Abdopus_abaculus",42.2037422037422,37.006237006237,59.8752598752599,38.4615384615385
"4","Abietinaria_immersa",43.9189189189189,33.5585585585586,69.3693693693694,40.3153153153153
"5","Ablennes_hians",45.2312138728324,39.7398843930636,67.7023121387283,50.7225433526012
"6","Abralia_andamanica",40.8410548823949,37.5623663578047,63.0791161796151,42.8367783321454
"7","Abralia_astrosticta",46.1988304093567,36.1111111111111,72.1734892787524,46.0038986354776
"8","Abraliopsis_hoylei",42.5042301184433,35.1945854483926,68.155668358714,44.8730964467005
"9","Abudefduf_septemfasciatus",46.1654135338346,38.8721804511278,66.6917293233083,49.8496240601504
"10","Abudefduf_sexfasciatus",44.8916408668731,37.5232198142415,68.4210526315789,47.3065015479876
"11","Abudefduf_sordidus",45.1965065502183,39.5924308588064,67.6128093158661,50.509461426492
"12","Abudefduf_vaigiensis",44.5172824791418,38.0810488676996,69.4874851013111,47.9737783075089
"13","Abyla_haeckeli",43.1210500729217,37.0442391832766,69.3242586290715,47.2532814778804
"14","Abylopsis_eschscholtzi",43.4870755195134,36.999493157628,69.7921946274709,46.9336036492651
"15","Abylopsis_tetragona",44.6392785571142,38.4268537074148,71.8937875751503,48.997995991984
"16","Acalyptophis_peronii",38.0675203725262,37.1362048894063,57.6251455180442,40.8614668218859
"17","Acanthanas_pusillus",42.4727272727273,33.8909090909091,68.1454545454545,44.8727272727273
"18","Acanthaster_planci",44.2595673876872,37.0493621741542,69.6616749861342,47.8646699944537
"19","Acanthastrea_echinata",44.0727699530516,37.7347417840376,68.8380281690141,47.7112676056338
"20","Acanthastrea_ishigakiensis",42.3859649122807,37.4035087719298,65.3333333333333,42.6666666666667
"21","Acanthaxius_miyazakiensis",41.7920209287116,36.6906474820144,64.4865925441465,40.4839764551995
"22","Acanthaxius_spinosissimus",42.5051334702259,34.1889117043121,64.3737166324435,43.429158110883
"23","Acanthella_cavernosa",43.1192660550459,37.6911314984709,64.9082568807339,42.737003058104
"24","Acanthella_costata",46.9365426695842,37.417943107221,63.6761487964989,42.3413566739606
"25","Acanthephyra_eximia",35.8039577274984,33.5910348251649,69.7496276331655,46.1663947797716
"26","Acanthephyra_quadrispinosa",38.7715179968701,34.9374021909233,61.4632237871675,36.5414710485133
"27","Acanthephyra_smithi",31.5039853652163,30.2822422579381,54.9000392003136,37.0442963543708
"28","Acanthochaetetes_wellsi",51.7942583732057,37.799043062201,74.0430622009569,43.6602870813397
"29","Acanthocybium_solandri",30.7773046242428,31.0382054819169,55.9947220056379,38.2804534276975
"30","Acanthodendrilla_australis",35.0515463917526,39.1752577319588,58.2474226804124,32.9896907216495
"31","Acanthogorgia_spinosa",50.4273504273504,42.3076923076923,70.9401709401709,50.4273504273504
"32","Acanthophora_spicifera",44.8036951501155,38.4526558891455,69.4572748267898,48.7875288683603
"33","Acanthopleura_gemmata",46.5832531280077,38.88354186718,65.4475457170356,50.818094321463
"34","Acanthopleura_spinosa",37.396449704142,35.8579881656805,56.6863905325444,38.1065088757396
"35","Acanthosphex_leurynnis",39.2452830188679,39.0566037735849,60.9433962264151,42.7358490566038
"36","Acanthosquilla_derijardi",43.5275080906149,36.5695792880259,68.824163969795,44.9298813376483
"37","Acanthosquilla_multifasciata",42.8301886792453,36.7452830188679,67.6415094339623,44.5283018867925
"38","Acanthurus_achilles",50.402576489533,37.2785829307568,71.4170692431562,49.194847020934
"39","Acanthurus_albipectoralis",57.9281183932347,41.4376321353066,80.7610993657505,55.8139534883721
"40","Acanthurus_auranticavus",42.5226586102719,36.631419939577,65.0302114803625,41.3897280966767
"41","Acanthurus_blochii",44.1970310391363,37.6518218623482,67.0715249662618,43.9946018893387
"42","Acanthurus_dussumieri",43.0985915492958,37.7464788732394,67.2676056338028,44.056338028169
"43","Acanthurus_fowleri",39.7935779816514,37.9587155963303,61.8119266055046,41.3990825688073
"44","Acanthurus_grammoptilus",54.5,39,82,43.5
"45","Acanthurus_guttatus",44.7138047138047,36.969696969697,68.2154882154882,45.1178451178451
"46","Acanthurus_japonicus",39.5277207392197,40.041067761807,59.958932238193,42.4024640657084
"47","Acanthurus_leucopareius",49.1636363636364,35.4181818181818,70.2545454545455,47.3454545454545
"48","Acanthurus_lineatus",44.705174488568,37.3044524669073,69.4945848375451,47.6534296028881
"49","Acanthurus_maculiceps",41.6312659303314,36.3636363636364,65.6754460492778,41.4613423959218
"50","Acanthurus_mata",44.3880428652002,36.9994359842076,68.9227298364354,46.8133107727016
"51","Acanthurus_nigricans",44.4692737430168,36.7039106145251,69.3296089385475,47.2067039106145
"52","Acanthurus_nigricauda",43.2672590567327,36.9788106630212,66.4388243335612,43.1989063568011
"53","Acanthurus_nigrofuscus",44.9971081550029,38.1145170618855,69.3464430306536,48.5251590514748
"54","Acanthurus_nigroris",44.2460317460317,36.2433862433862,68.7830687830688,43.1216931216931
"55","Acanthurus_nubilus",44.384156266956,37.4932175800326,70.2658708627238,48.2365708084645
"56","Acanthurus_olivaceus",43.5018050541516,37.7256317689531,67.9903730445247,44.8856799037304
"57","Acanthurus_pyroferus",44.4772593030124,36.2079149438866,69.2852923803898,46.4855286473715
"58","Acanthurus_thompsoni",43.4146341463415,36.7073170731707,67.7439024390244,43.109756097561
"59","Acanthurus_triostegus",44.6762974852862,37.8277153558052,69.8769395398609,47.9935794542536
"60","Acanthurus_xanthopterus",44.5099089448313,37.868237814676,69.9517943224424,47.7771826459561
"61","Acar_domingensis",42.8306551297899,36.7737948084054,66.6254635352287,41.9035846724351
"62","Acar_plicata",44.018643190057,37.1828068358364,69.7048161574314,47.6437079233558
"63","Acarnus_caledoniensis",35.042735042735,32.4786324786325,45.2991452991453,33.3333333333333
"64","Acartia_danae",46.2209302325581,42.4418604651163,72.9651162790698,49.4186046511628
"65","Acartia_negligens",50,50,100,50
"66","Acasta_conica",43.375,37.375,63.5,40.75
"67","Acasta_cyathus",45.4733574754268,37.9720641489912,72.1676151060528,48.7325400931195
"68","Acasta_echinata",38.3264462809917,38.3264462809917,60.5371900826446,42.7685950413223
"69","Acasta_fenestrata",42.9387755102041,38.3673469387755,62.8571428571429,43.7551020408163
"70","Acasta_japonica",38.8363636363636,38.6181818181818,58.8363636363636,40.4363636363636
"71","Acasta_purpurata",45.2423698384201,37.5224416517056,59.0664272890485,37.342908438061
"72","Acaudina_molpadioides",38.1154499151104,37.1816638370119,60.6960950764007,40.2376910016978
"73","Accalathura_themeda",54.9800796812749,43.4262948207171,72.9083665338645,53.3864541832669
"74","Acentrogobius_janthinopterus",42.5992779783394,38.5379061371841,62.2743682310469,42.870036101083
"75","Acentrogobius_moloanus",41.7052826691381,38.6468952734013,61.4457831325301,41.8906394810009
"76","Acentrogobius_nebulosus",38.9462809917355,39.5661157024793,59.297520661157,41.7355371900826
"77","Acentrogobius_suluensis",43.042071197411,39.697950377562,63.5382955771305,42.8263214670982
"78","Acentronura_breviperula",42.8571428571429,37.4255952380952,64.8809523809524,42.8571428571429
"79","Acesta_rathbuni",38.4422110552764,37.2696817420436,61.1390284757119,40.0335008375209
"80","Achaeus_curvirostris",38.5759829968119,36.4505844845909,60.3613177470776,40.913921360255
"81","Achaeus_lacertosus",40.9375,38.9583333333333,60.5208333333333,41.3541666666667
"82","Achelia_assimilis",43.6781609195402,37.2313843078461,63.2683658170915,45.1274362818591
"83","Achelia_besnardi",42.9991714995857,36.9511184755592,66.6114333057166,41.5907207953604
"84","Achelia_nana",41.301703163017,36.4355231143552,63.6861313868613,39.4160583941606
"85","Achelia_sawayai",45.0561197220738,37.3597006948156,69.9625868519508,47.8353821485836
"86","Aciculites_orientalis",48.9754098360656,38.5245901639344,73.9754098360656,41.8032786885246
