"","run","scenario","approach","mean_tos","mean_phos","mean_o2os","median_velocity","mean_MHW","mean_CombinedMetric","num_pu","percent_area"
"1","EM_Percentile_tos_585","585","percentile",0.0366905533385457,-0.00461216412038945,-0.00011286106595442,16.1903005116597,45350.6691577401,59.4206447434782,25213,59.2647439061655
"2","EM_Percentile_phos_585","585","percentile",0.0407109464398217,-0.00448147030193907,-0.000123004100366636,23.468908120757,60865.4004930612,53.7689496145145,25869,60.8067132078133
"3","EM_Percentile_o2os_585","585","percentile",0.0368913826490703,-0.00461045428177137,-0.000112142671078154,16.633423543609,45710.3692886829,59.8374330695016,23628,55.5391016148368
"4","EM_Percentile_velocity_585","585","percentile",0.0389666469402,-0.00462016650805973,-0.00012181311419402,12.0428161167165,52201.2407449038,52.0748282259856,23174,54.4719460310744
"5","EM_Percentile_MHW_585","585","percentile",0.0372732831865538,-0.00463988850537024,-0.000115100525428275,14.5967501626912,42162.3594945255,57.3894845088725,22760,53.4988129657053
"6","EM_Percentile_CombinedMetric_585","585","percentile",0.037199443128803,-0.00458405244702323,-0.000112929939218668,18.5652154554397,47039.7100325287,60.5112737936265,23696,55.6989398961051
