"","feature","uninformed"
"145","Acropora_polystoma",46.0554371002132
"146","Acropora_prostrata",44.4345503116652
"147","Acropora_pulchra",43.015873015873
"148","Acropora_rambleri",45.625
"149","Acropora_retusa",42.135761589404
"150","Acropora_robusta",43.338683788122
"151","Acropora_rosaria",45.7677165354331
"152","Acropora_samoensis",42.9245283018868
"153","Acropora_sarmentosa",43.642329778507
"154","Acropora_secale",43.21608040201
"155","Acropora_selago",44.8633364750236
"156","Acropora_solitaryensis",45.3179190751445
"157","Acropora_spathulata",48.9763779527559
"158","Acropora_speciosa",43.4010152284264
"159","Acropora_spicifera",45.7008244994111
"160","Acropora_subglabra",45.4767726161369
"161","Acropora_subulata",43.6688311688312
"162","Acropora_tenella",45.5968688845401
"163","Acropora_tenuis",42.9817605075337
"164","Acropora_teres",43.9890710382514
"165","Acropora_valenciennesi",45.2277657266811
"166","Acropora_valida",43.1240657698057
"167","Acropora_vaughani",43.1818181818182
"168","Acropora_verweyi",43.0389221556886
"169","Acropora_willisae",45.5849889624724
"170","Acropora_yongei",45.3143534994069
"171","Acrosterigma_dianthinum",46.6412213740458
"172","Acrosterigma_hobbsae",46.5504169825625
"173","Acrosterigma_maculosum",47.6744186046512
"174","Acrosterigma_profundum",37.1814092953523
"175","Acrosterigma_punctolineatum",47.0316114109483
"176","Acrosterigma_selene",40
"177","Acrosterigma_simplex",46.6346153846154
"178","Acrosterigma_transcendens",42.9272281275552
"179","Acrosterigma_unicolor",46.7948717948718
"180","Acryptolaria_conferta",30.3425774877651
"181","Actaea_polyacantha",43.8528557599226
"182","Actaeodes_consobrinus",44.3012884043608
"183","Actaeodes_hirsutissimus",43.4017595307918
"184","Actaeodes_tomentosus",43.0847212165098
"185","Actaeomorpha_erosa",42.3387096774194
"186","Acteocina_lepta",32.1875
"187","Actinodendron_plumosum",50.3118503118503
"188","Actinopyga_caerulea",48.0122324159021
"189","Actinopyga_capillata",45.0134770889488
"190","Actinopyga_crassa",44.256120527307
"191","Actinopyga_echinites",42.8796223446105
"192","Actinopyga_lecanora",45.8252427184466
"193","Actinopyga_mauritiana",42.7457098283931
"194","Actinopyga_miliaris",45.2286282306163
"195","Actinopyga_palauensis",43.75
"196","Actinopyga_spinea",46.6049382716049
"197","Actinopyga_varians",44.1798941798942
"198","Actinotrichia_fragilis",44.9183303085299
"199","Actumnus_setifer",47.9885057471264
"200","Aega_alazon",41.8960244648318
"201","Aega_excisa",52.6077097505669
"202","Aega_vigilans",50
"203","Aegaeon_lacazei",43.7717121588089
"204","Aegaeon_rathbuni",44.4228903976722
"205","Aegina_citrea",41.571720712825
"206","Aeginura_grimaldii",42.042042042042
"207","Aegires_exeches",43.7216338880484
"208","Aegisthus_mucronatus",31.5733947153887
"209","Aenigmathura_calliandra",42.1052631578947
"210","Aequorea_globosa",45.7142857142857
"211","Aesopia_cornuta",46.2759462759463
"212","Aesopus_clausiliformis",45.6122448979592
"213","Aethaloperca_rogaa",45.123258306538
"214","Aethra_edentata",43.2753164556962
"215","Aethra_scruposa",43.0205949656751
"216","Aetideus_giesbrechti",100
"217","Aetobatus_flagellum",46.3930348258707
"218","Aetobatus_narinari",44.0095846645367
"219","Aetobatus_ocellatus",43.2685385169186
"220","Afrocardium_exochum",47.3333333333333
"221","Afrocardium_infantile",49.7076023391813
"222","Afrocardium_richardi",43.7924644842495
"223","Agalma_elegans",42.7358490566038
"224","Agalma_okeni",43.7133550488599
"225","Agelas_ceylonica",48.3870967741936
"226","Agelas_clathrodes",45.6818181818182
"227","Agelas_mauritiana",47.029702970297
"228","Agelas_novaecaledoniae",43.2432432432432
"229","Aglaophamus_dibranchis",48.546042003231
"230","Aglaophamus_verrilli",32.6271186440678
"231","Aglaophenia_cupressina",47.1153846153846
"232","Aglaophenia_lophocarpa",31.8996415770609
"233","Aglaophenia_postdentata",45.8233890214797
"234","Aglaura_hemistoma",44.6868402533427
"235","Agnezia_glaciata",83.3333333333333
"236","Agononida_incerta",46.5281899109792
"237","Agononida_simillima",31.0077519379845
"238","Agononida_squamosa",47.3970944309927
"239","Ahliesaurus_berryi",30.4928222583987
"240","Ahliesaurus_brevis",57.5638506876228
"241","Aidanosagitta_neglecta",43.8231469440832
"242","Aidanosagitta_oceania",48.1888035126235
"243","Aidanosagitta_regularis",45.6066945606695
"244","Aioliops_megastigma",51.7857142857143
"245","Aioliops_novaeguineae",50.9532062391681
"246","Aioliops_tetrophthalmus",30.6306306306306
"247","Aipysurus_duboisii",47.9524438573316
"248","Aipysurus_eydouxii",48.780487804878
"249","Aipysurus_laevis",47.0588235294118
"250","Akera_soluta",47.0692717584369
"251","Alainodaeus_nuku",35.9477124183007
"252","Alainodaeus_rimatara",35.8024691358025
"253","Alainosquilla_foresti",49.0150637311703
"254","Alatina_alata",40.2414486921529
"255","Alaysia_spiralis",39.2966157929662
"256","Albula_argentea",44.9957947855341
"257","Albula_oligolepis",46.9879518072289
"258","Albunea_bulla",41.4868105515587
"259","Albunea_microps",45.3153153153153
"260","Alderina_tuberosa",48.0129764801298
"261","Alectis_ciliaris",44.6361590397599
"262","Alectis_indica",45.2850877192982
"263","Alectona_triradiata",36.1344537815126
"264","Alectryonella_plicatula",45.0322580645161
"265","Alepes_apercna",49.0566037735849
"266","Alepes_djedaba",45.1887941534714
"267","Alepes_vari",47.9389312977099
"268","Alepisaurus_ferox",31.1170748071117
"269","Aliaporcellana_suluensis",45.7167090754877
"270","Alima_hieroglyphica",45.4446854663774
"271","Alimopsoides_tuberculatus",38.6617100371747
"272","Alionematichthys_crassiceps",47.4213836477987
"273","Alionematichthys_piger",43.1294678316124
