"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585"
"8494","Uropterygius_oligospondylus",32.1676300578034,32.3699421965318,31.7630057803468,31.9653179190752,30.9537572254336
"8495","Uropterygius_polyspilus",32.9591836734694,32.5510204081633,33.1632653061224,32.0408163265306,31.4285714285714
"8496","Uropterygius_supraforatus",34.8087431693989,34.6315789473684,33.9005235602095,34.3712574850299,32.6872246696035
"8497","Uropterygius_xanthopterus",32.2256097560976,32.4390243902439,32.2256097560976,31.6920731707317,31.265243902439
"8498","Uropterygius_xenodontus",34.3772241992882,34.4150417827298,34.5541401273886,34.0597014925373,33.0225988700565
"8499","Uroptychodes_albatrossae",33.359375,32.12890625,30.3515625,31.9921875,31.03515625
"8500","Uroptychodes_benedicti",33.3009708737864,32.621359223301,31.6019417475728,31.7718446601942,30.5825242718446
"8501","Uroptychus_alcocki",33.5378590078329,32.7659574468085,34.2553191489362,31.9281914893617,30.345744680851
"8502","Uroptychus_joloensis",31.8181818181818,32.5166297117516,30.6541019955654,32.2062084257206,30.4988913525499
"8503","Uroptychus_nanophyes",32.052067381317,32.5344563552833,30.6584992343032,32.2128637059725,30.2833078101072
"8504","Uroptychus_naso",33.579335793358,31.7712177121771,30.9963099630996,32.2878228782288,30.4797047970479
"8505","Uroptychus_nigricapillis",31.8454935622318,32.8770491803279,30.3524590163934,32.3606557377049,30.4098360655738
"8506","Uroptychus_scandens",33.3260869565217,31.9565217391304,30.7391304347826,31.8043478260869,30.5869565217391
"8507","Utinomiella_dimorpha",32.6271186440678,32.6271186440678,30.593220338983,31.9491525423729,30.9322033898305
"8508","Vaceletia_crypta",33.46875,34.5625,31.28125,32.375,31.0625
"8509","Valdiviella_insignis",35,35,35,35,35
"8510","Valenciennea_bella",33.2102272727273,33.5169491525424,35,34.1101694915254,33.8135593220339
