total_cost,total_penalty,run
8132862.931046329,20313.81205101515,Scaling 0.0631
8127839.401522329,20271.827513111286,Scaling 0.29854
8289293.5700011365,20219.73533435392,Scaling 1.41254
8167512.9521733085,20111.8442653253,Scaling 6.68344
8176429.400679086,19968.56125650305,Scaling 31.62278
8170899.408621878,19876.578555141106,Scaling 149.62357
8265563.524723007,19686.99308603537,Scaling 707.94578
8741479.091455968,19521.8384750293,Scaling 3349.65439
16098639.896020304,20419.955508276613,Scaling 15848.93192
